location_id,location_kind,line_code,bound,supply_capacity
PLAT:GAM:SGA10:EB,platform sector,GAM,EB,4
PLAT:GAM:SGA10:WB,platform sector,GAM,WB,4
SEC:ALP:H01_H02:EB,tunnel sector,ALP,EB,1
SEC:ALP:H01_H02:WB,tunnel sector,ALP,WB,1
SEC:ALP:H02_S05:EB,tunnel sector,ALP,EB,2
SEC:ALP:H02_S05:WB,tunnel sector,ALP,WB,2
SEC:ALP:S01_S02:EB,tunnel sector,ALP,EB,4
SEC:ALP:S01_S02:WB,tunnel sector,ALP,WB,4
SEC:ALP:S02_S03:EB,tunnel sector,ALP,EB,4
SEC:ALP:S02_S03:WB,tunnel sector,ALP,WB,4
SEC:ALP:S03_S04:EB,tunnel sector,ALP,EB,4
SEC:ALP:S03_S04:WB,tunnel sector,ALP,WB,4
SEC:ALP:S04_H01:EB,tunnel sector,ALP,EB,2
SEC:ALP:S04_H01:WB,tunnel sector,ALP,WB,2
SEC:ALP:S05_S06:EB,tunnel sector,ALP,EB,4
SEC:ALP:S05_S06:WB,tunnel sector,ALP,WB,4
SEC:ALP:S06_S07:EB,tunnel sector,ALP,EB,4
SEC:ALP:S06_S07:WB,tunnel sector,ALP,WB,4
SEC:ALP:S07_S08:EB,tunnel sector,ALP,EB,4
SEC:ALP:S07_S08:WB,tunnel sector,ALP,WB,4
SEC:BET:H01_H02:EB,tunnel sector,BET,EB,1
SEC:BET:H01_H02:WB,tunnel sector,BET,WB,1
SEC:BET:H02_S15:EB,tunnel sector,BET,EB,2
SEC:BET:H02_S15:WB,tunnel sector,BET,WB,2
SEC:BET:S11_S12:EB,tunnel sector,BET,EB,4
SEC:BET:S11_S12:WB,tunnel sector,BET,WB,4
SEC:BET:S12_S13:EB,tunnel sector,BET,EB,4
SEC:BET:S12_S13:WB,tunnel sector,BET,WB,4
SEC:BET:S13_S14:EB,tunnel sector,BET,EB,4
SEC:BET:S13_S14:WB,tunnel sector,BET,WB,4
SEC:BET:S14_H01:EB,tunnel sector,BET,EB,2
SEC:BET:S14_H01:WB,tunnel sector,BET,WB,2
SEC:BET:S15_S16:EB,tunnel sector,BET,EB,4
SEC:BET:S15_S16:WB,tunnel sector,BET,WB,4
SEC:BET:S16_S17:EB,tunnel sector,BET,EB,4
SEC:BET:S16_S17:WB,tunnel sector,BET,WB,4
SEC:BET:S17_S18:EB,tunnel sector,BET,EB,4
SEC:BET:S17_S18:WB,tunnel sector,BET,WB,4
SEC:DEL:H01_H02:EB,tunnel sector,DEL,EB,1
SEC:DEL:H01_H02:WB,tunnel sector,DEL,WB,1
SEC:DEL:H02_SDE07:EB,tunnel sector,DEL,EB,2
SEC:DEL:H02_SDE07:WB,tunnel sector,DEL,WB,2
SEC:DEL:SDE01_SDE02:EB,tunnel sector,DEL,EB,2
SEC:DEL:SDE01_SDE02:WB,tunnel sector,DEL,WB,2
SEC:DEL:SDE02_SDE03:EB,tunnel sector,DEL,EB,2
SEC:DEL:SDE02_SDE03:WB,tunnel sector,DEL,WB,2
SEC:DEL:SDE03_SDE04:EB,tunnel sector,DEL,EB,2
SEC:DEL:SDE03_SDE04:WB,tunnel sector,DEL,WB,2
SEC:DEL:SDE04_H01:EB,tunnel sector,DEL,EB,2
SEC:DEL:SDE04_H01:WB,tunnel sector,DEL,WB,2
SEC:DEL:SDE07_SDE08:EB,tunnel sector,DEL,EB,2
SEC:DEL:SDE07_SDE08:WB,tunnel sector,DEL,WB,2
SEC:DEL:SDE08_SDE09:EB,tunnel sector,DEL,EB,2
SEC:DEL:SDE08_SDE09:WB,tunnel sector,DEL,WB,2
SEC:DEL:SDE09_SDE10:EB,tunnel sector,DEL,EB,2
SEC:DEL:SDE09_SDE10:WB,tunnel sector,DEL,WB,2
SEC:EPS:H01_H02:EB,tunnel sector,EPS,EB,1
SEC:EPS:H01_H02:WB,tunnel sector,EPS,WB,1
SEC:EPS:H02_SEP07:EB,tunnel sector,EPS,EB,2
SEC:EPS:H02_SEP07:WB,tunnel sector,EPS,WB,2
SEC:EPS:SEP01_SEP02:EB,tunnel sector,EPS,EB,2
SEC:EPS:SEP01_SEP02:WB,tunnel sector,EPS,WB,2
SEC:EPS:SEP02_SEP03:EB,tunnel sector,EPS,EB,2
SEC:EPS:SEP02_SEP03:WB,tunnel sector,EPS,WB,2
SEC:EPS:SEP03_SEP04:EB,tunnel sector,EPS,EB,2
SEC:EPS:SEP03_SEP04:WB,tunnel sector,EPS,WB,2
SEC:EPS:SEP04_H01:EB,tunnel sector,EPS,EB,2
SEC:EPS:SEP04_H01:WB,tunnel sector,EPS,WB,2
SEC:EPS:SEP07_SEP08:EB,tunnel sector,EPS,EB,2
SEC:EPS:SEP07_SEP08:WB,tunnel sector,EPS,WB,2
SEC:EPS:SEP08_SEP09:EB,tunnel sector,EPS,EB,2
SEC:EPS:SEP08_SEP09:WB,tunnel sector,EPS,WB,2
SEC:EPS:SEP09_SEP10:EB,tunnel sector,EPS,EB,2
SEC:EPS:SEP09_SEP10:WB,tunnel sector,EPS,WB,2
SEC:GAM:H01_H02:EB,tunnel sector,GAM,EB,1
SEC:GAM:H01_H02:WB,tunnel sector,GAM,WB,1
SEC:GAM:H02_SGA07:EB,tunnel sector,GAM,EB,2
SEC:GAM:H02_SGA07:WB,tunnel sector,GAM,WB,2
SEC:GAM:SGA01_SGA02:EB,tunnel sector,GAM,EB,2
SEC:GAM:SGA01_SGA02:WB,tunnel sector,GAM,WB,2
SEC:GAM:SGA02_SGA03:EB,tunnel sector,GAM,EB,2
SEC:GAM:SGA02_SGA03:WB,tunnel sector,GAM,WB,2
SEC:GAM:SGA03_SGA04:EB,tunnel sector,GAM,EB,2
SEC:GAM:SGA03_SGA04:WB,tunnel sector,GAM,WB,2
SEC:GAM:SGA04_H01:EB,tunnel sector,GAM,EB,2
SEC:GAM:SGA04_H01:WB,tunnel sector,GAM,WB,2
SEC:GAM:SGA07_SGA08:EB,tunnel sector,GAM,EB,2
SEC:GAM:SGA07_SGA08:WB,tunnel sector,GAM,WB,2
SEC:GAM:SGA08_SGA09:EB,tunnel sector,GAM,EB,2
SEC:GAM:SGA08_SGA09:WB,tunnel sector,GAM,WB,2
SEC:GAM:SGA09_SGA10:EB,tunnel sector,GAM,EB,2
SEC:GAM:SGA09_SGA10:WB,tunnel sector,GAM,WB,2
