activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
A064,C010,Construction,SEC:BET:S15_S16:WB,SEC:BET:S15_S16:WB,1,2027-04-19,,3
A065,C011,Renewal,SEC:BET:S12_S13:WB,SEC:BET:S12_S13:WB,1,2027-05-10,,2
A066,C011,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:S04_H01:WB,1,2027-06-21,A065,3
A069,C011,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:H01_H02:WB,2,2027-03-01,,2
A070,C011,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,5,2027-03-15,,1
A071,C011,Renewal,SEC:BET:S15_S16:EB,SEC:BET:S16_S17:EB,1,2027-04-12,,1
A072,C012,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,1,2027-06-07,,2
A073,C012,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,1,2027-05-31,,3
A074,C013,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,1,2027-05-10,,2
A075,C014,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,1,2027-06-14,,3
A101,C017,Renewal,SEC:EPS:SEP01_SEP02:WB,SEC:EPS:SEP01_SEP02:WB,3,2027-02-15,,3
A102,C015,Renewal,SEC:GAM:SGA02_SGA03:EB,SEC:GAM:SGA02_SGA03:EB,1,2027-02-15,,1
A103,C016,Construction,SEC:DEL:SDE03_SDE04:WB,SEC:DEL:SDE03_SDE04:WB,2,2027-02-15,,2
A104,C017,Renewal,SEC:EPS:SEP01_SEP02:EB,SEC:EPS:SEP01_SEP02:EB,3,2027-02-15,,3
A105,C015,Renewal,SEC:GAM:SGA02_SGA03:WB,SEC:GAM:SGA02_SGA03:WB,1,2027-02-15,,1
A106,C016,Construction,SEC:DEL:SDE03_SDE04:EB,SEC:DEL:SDE03_SDE04:EB,2,2027-02-15,A101,2
A107,C017,Renewal,SEC:EPS:SEP01_SEP02:WB,SEC:EPS:SEP01_SEP02:WB,3,2027-02-15,A102,3
A108,C015,Renewal,SEC:GAM:SGA02_SGA03:EB,SEC:GAM:SGA02_SGA03:EB,1,2027-02-15,A103,1
A109,C016,Construction,SEC:DEL:SDE03_SDE04:WB,SEC:DEL:SDE03_SDE04:WB,2,2027-02-15,A104,2
A110,C017,Renewal,SEC:EPS:SEP01_SEP02:EB,SEC:EPS:SEP01_SEP02:EB,3,2027-02-15,A105,3
A111,C015,Renewal,SEC:GAM:SGA02_SGA03:WB,SEC:GAM:SGA02_SGA03:WB,1,2027-02-15,A106,1
A112,C016,Construction,SEC:DEL:SDE03_SDE04:EB,SEC:DEL:SDE03_SDE04:EB,2,2027-02-15,A107,2
A113,C017,Renewal,SEC:EPS:SEP01_SEP02:WB,SEC:EPS:SEP01_SEP02:WB,3,2027-02-15,A108,3
A114,C015,Renewal,SEC:GAM:SGA02_SGA03:EB,SEC:GAM:SGA02_SGA03:EB,1,2027-02-15,A109,1
A115,C016,Construction,SEC:DEL:SDE03_SDE04:WB,SEC:DEL:SDE03_SDE04:WB,2,2027-02-15,A110,2
A116,C017,Renewal,SEC:EPS:SEP01_SEP02:EB,SEC:EPS:SEP01_SEP02:EB,3,2027-02-15,A111,3
A117,C015,Renewal,SEC:GAM:SGA02_SGA03:WB,SEC:GAM:SGA02_SGA03:WB,1,2027-02-15,A112,1
A118,C016,Construction,SEC:DEL:SDE03_SDE04:EB,SEC:DEL:SDE03_SDE04:EB,2,2027-02-15,A113,2
A119,C017,Renewal,SEC:EPS:SEP01_SEP02:WB,SEC:EPS:SEP01_SEP02:WB,3,2027-02-15,A114,3
A120,C015,Renewal,SEC:GAM:SGA02_SGA03:EB,SEC:GAM:SGA02_SGA03:EB,1,2027-02-15,A115,1
A121,C016,Construction,SEC:DEL:SDE03_SDE04:WB,SEC:DEL:SDE03_SDE04:WB,2,2027-02-15,A116,2
A122,C017,Renewal,SEC:EPS:SEP01_SEP02:EB,SEC:EPS:SEP01_SEP02:EB,3,2027-02-15,A117,3
A123,C015,Renewal,SEC:GAM:SGA02_SGA03:WB,SEC:GAM:SGA02_SGA03:WB,1,2027-02-15,A118,1
A124,C016,Construction,SEC:DEL:SDE03_SDE04:EB,SEC:DEL:SDE03_SDE04:EB,2,2027-02-15,A119,2
A125,C017,Renewal,SEC:EPS:SEP01_SEP02:WB,SEC:EPS:SEP01_SEP02:WB,3,2027-02-15,A120,3
A126,C015,Renewal,SEC:GAM:SGA02_SGA03:EB,SEC:GAM:SGA02_SGA03:EB,1,2027-02-15,A121,1
A127,C016,Construction,SEC:DEL:SDE03_SDE04:WB,SEC:DEL:SDE03_SDE04:WB,2,2027-02-15,A122,2
A128,C017,Renewal,SEC:EPS:SEP01_SEP02:EB,SEC:EPS:SEP01_SEP02:EB,3,2027-02-15,A123,3
A129,C015,Renewal,SEC:GAM:SGA02_SGA03:WB,SEC:GAM:SGA02_SGA03:WB,1,2027-02-15,A124,1
A130,C016,Construction,SEC:DEL:SDE03_SDE04:EB,SEC:DEL:SDE03_SDE04:EB,2,2027-02-15,A125,2
A131,C017,Renewal,SEC:EPS:SEP01_SEP02:WB,SEC:EPS:SEP01_SEP02:WB,3,2027-02-15,A126,3
A132,C015,Renewal,SEC:GAM:SGA02_SGA03:EB,SEC:GAM:SGA02_SGA03:EB,1,2027-02-15,A127,1
A133,C016,Construction,SEC:DEL:SDE03_SDE04:WB,SEC:DEL:SDE03_SDE04:WB,2,2027-02-15,A128,2
A134,C017,Renewal,SEC:EPS:SEP01_SEP02:EB,SEC:EPS:SEP01_SEP02:EB,3,2027-02-15,A129,3
A135,C015,Renewal,SEC:GAM:SGA02_SGA03:WB,SEC:GAM:SGA02_SGA03:WB,1,2027-02-15,A130,1
A136,C016,Construction,SEC:DEL:SDE03_SDE04:EB,SEC:DEL:SDE03_SDE04:EB,2,2027-02-15,A131,2
A137,C017,Renewal,SEC:EPS:SEP01_SEP02:WB,SEC:EPS:SEP01_SEP02:WB,3,2027-02-15,A132,3
A138,C015,Renewal,SEC:GAM:SGA02_SGA03:EB,SEC:GAM:SGA02_SGA03:EB,1,2027-02-15,A133,1
A139,C016,Construction,SEC:DEL:SDE03_SDE04:WB,SEC:DEL:SDE03_SDE04:WB,2,2027-02-15,A134,2
A140,C017,Renewal,SEC:EPS:SEP01_SEP02:EB,SEC:EPS:SEP01_SEP02:EB,3,2027-02-15,A135,3
A141,C015,Renewal,SEC:GAM:SGA02_SGA03:WB,SEC:GAM:SGA02_SGA03:WB,1,2027-02-15,A136,1
A142,C016,Construction,SEC:DEL:SDE03_SDE04:EB,SEC:DEL:SDE03_SDE04:EB,2,2027-02-15,A137,2
A143,C017,Renewal,SEC:EPS:SEP01_SEP02:WB,SEC:EPS:SEP01_SEP02:WB,3,2027-02-15,A138,3
A144,C015,Renewal,SEC:GAM:SGA02_SGA03:EB,SEC:GAM:SGA02_SGA03:EB,1,2027-02-15,A139,1
A145,C016,Construction,SEC:DEL:SDE03_SDE04:WB,SEC:DEL:SDE03_SDE04:WB,2,2027-02-15,A140,2
A146,C017,Renewal,SEC:EPS:SEP01_SEP02:EB,SEC:EPS:SEP01_SEP02:EB,3,2027-02-15,A141,3
